event_index,player_game_number,player_id,player_team,player_role,role_number,play_detail1,play_detail_2,play_detail_successful,event_key,event_player_key,player_game_key,game_id,skill_rating,is_primary_player,is_event_team,is_opp_team
1090,9.0,,Velodrome,event_team_player_1,1.0,,,,18969_1090,18969_1090_9,18969_9,18969,4.0,1,1,0
1090,91.0,,Velodrome,event_team_player_2,2.0,,,,18969_1090,18969_1090_91,18969_91,18969,4.0,0,1,0
1090,34.0,,Platinum,opp_team_player_1,1.0,,,,18969_1090,18969_1090_34,18969_34,18969,4.0,0,0,1
1091,45.0,,Platinum,event_team_player_1,1.0,RecoveryRetreivalPass,Deke,s,18969_1091,18969_1091_45,18969_45,18969,6.0,1,1,0
1091,61.0,,Velodrome,opp_team_player_1,1.0,BeatDeke,,u,18969_1091,18969_1091_61,18969_61,18969,3.0,0,0,1
1092,45.0,,Platinum,event_team_player_1,1.0,,,,18969_1092,18969_1092_45,18969_45,18969,6.0,1,1,0
1092,61.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1092,18969_1092_61,18969_61,18969,3.0,0,0,1
1093,45.0,,Platinum,event_team_player_1,1.0,Breakout,,s,18969_1093,18969_1093_45,18969_45,18969,6.0,1,1,0
1093,47.0,,Platinum,event_team_player_2,2.0,,,,18969_1093,18969_1093_47,18969_47,18969,4.0,0,1,0
1094,45.0,,Platinum,event_team_player_1,1.0,,,,18969_1094,18969_1094_45,18969_45,18969,6.0,1,1,0
1094,47.0,,Platinum,event_team_player_2,2.0,,,,18969_1094,18969_1094_47,18969_47,18969,4.0,0,1,0
1095,47.0,,Platinum,event_team_player_1,1.0,,,,18969_1095,18969_1095_47,18969_47,18969,4.0,1,1,0
1096,47.0,,Platinum,event_team_player_1,1.0,AttemptedEntryRush,,u,18969_1096,18969_1096_47,18969_47,18969,4.0,1,1,0
1096,9.0,,Velodrome,opp_team_player_1,1.0,ZoneEntryDenial,StickCheck,,18969_1096,18969_1096_9,18969_9,18969,4.0,0,0,1
1097,9.0,,Velodrome,event_team_player_1,1.0,,,,18969_1097,18969_1097_9,18969_9,18969,4.0,1,1,0
1097,47.0,,Platinum,opp_team_player_1,1.0,LoosePuckBattleLost,,u,18969_1097,18969_1097_47,18969_47,18969,4.0,0,0,1
1098,9.0,,Velodrome,event_team_player_1,1.0,,,,18969_1098,18969_1098_9,18969_9,18969,4.0,1,1,0
1098,47.0,,Platinum,opp_team_player_1,1.0,,,,18969_1098,18969_1098_47,18969_47,18969,4.0,0,0,1
1099,3.0,,Platinum,event_team_player_1,1.0,RecoveryRetreivalTurnover,,u,18969_1099,18969_1099_3,18969_3,18969,4.0,1,1,0
1099,42.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1099,18969_1099_42,18969_42,18969,5.0,0,0,1
1099,61.0,,Velodrome,opp_team_player_2,2.0,,,,18969_1099,18969_1099_61,18969_61,18969,3.0,0,0,1
1100,61.0,,Velodrome,event_team_player_1,1.0,SeperateFromPuck,,s,18969_1100,18969_1100_61,18969_61,18969,3.0,1,1,0
1100,3.0,,Platinum,opp_team_player_1,1.0,,,,18969_1100,18969_1100_3,18969_3,18969,4.0,0,0,1
1101,47.0,,Platinum,event_team_player_1,1.0,RecoveryRetreivalTurnover,,u,18969_1101,18969_1101_47,18969_47,18969,4.0,1,1,0
1101,9.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1101,18969_1101_9,18969_9,18969,4.0,0,0,1
1102,47.0,,Platinum,event_team_player_1,1.0,AttemptedBreakOutRush,,u,18969_1102,18969_1102_47,18969_47,18969,4.0,1,1,0
1102,9.0,,Velodrome,opp_team_player_1,1.0,ZoneEntryDenial,PokeCheck,s,18969_1102,18969_1102_9,18969_9,18969,4.0,0,0,1
1103,9.0,,Velodrome,event_team_player_1,1.0,ZoneEntryDenial,,s,18969_1103,18969_1103_9,18969_9,18969,4.0,1,1,0
1103,47.0,,Platinum,opp_team_player_1,1.0,AttemptedEntryRush,,u,18969_1103,18969_1103_47,18969_47,18969,4.0,0,0,1
1104,9.0,,Velodrome,event_team_player_1,1.0,,,,18969_1104,18969_1104_9,18969_9,18969,4.0,1,1,0
1105,9.0,,Velodrome,event_team_player_1,1.0,,,,18969_1105,18969_1105_9,18969_9,18969,4.0,1,1,0
1106,70.0,,Velodrome,event_team_player_1,1.0,,,,18969_1106,18969_1106_70,18969_70,18969,6.0,1,1,0
1106,53.0,,Platinum,opp_team_player_1,1.0,,,,18969_1106,18969_1106_53,18969_53,18969,5.0,0,0,1
