rink_zone_id,zone_code,zone_name,granularity,x_min,x_max,y_min,y_max,zone,danger,side,x_description,y_description
RZDZ21,DZ21,bottom of circle to half way to dot - dot to half way to dot,fine,-76.5,-84.0,-22.5,-15.0,defensive,low,right,bottom of circle to half way to dot,dot to half way to dot
RZDZ22,DZ22,bottom of circle to half way to dot - half way to dot to hash,fine,-76.5,-84.0,-15.0,-7.5,defensive,mid,right,bottom of circle to half way to dot,half way to dot to hash
RZDZ23,DZ23,bottom of circle to half way to dot - hash to post,fine,-76.5,-84.0,-7.5,-5.5,defensive,high,center,bottom of circle to half way to dot,hash to post
RZDZ24,DZ24,bottom of circle to half way to dot - post to post,fine,-76.5,-84.0,-5.5,5.5,defensive,high,center,bottom of circle to half way to dot,post to post
RZDZ25,DZ25,bottom of circle to half way to dot - hash to post,fine,-76.5,-84.0,5.5,7.5,defensive,high,center,bottom of circle to half way to dot,hash to post
RZDZ26,DZ26,bottom of circle to half way to dot - hash to half way to dot,fine,-76.5,-84.0,7.5,15.0,defensive,mid,left,bottom of circle to half way to dot,hash to half way to dot
RZDZ27,DZ27,bottom of circle to half way to dot - half way to dot to dot,fine,-76.5,-84.0,15.0,22.5,defensive,low,left,bottom of circle to half way to dot,half way to dot to dot
RZDZ28,DZ28,bottom of circle to half way to dot - dot to half way to dot,fine,-76.5,-84.0,22.5,30.0,defensive,low,left,bottom of circle to half way to dot,dot to half way to dot
RZDZ29,DZ29,bottom of circle to half way to dot - half way to dot to hash,fine,-76.5,-84.0,30.0,37.5,defensive,low,left,bottom of circle to half way to dot,half way to dot to hash
RZDZ30,DZ30,bottom of circle to half way to dot - hash to boards,fine,-76.5,-84.0,37.5,42.5,defensive,low,left,bottom of circle to half way to dot,hash to boards
RZDZ31,DZ31,half way to dot to dot - boards to hash,fine,-69.0,-76.5,-42.5,-37.5,defensive,low,right,half way to dot to dot,boards to hash
RZDZ32,DZ32,half way to dot to dot - hash to half way to dot,fine,-69.0,-76.5,-37.5,-30.0,defensive,low,right,half way to dot to dot,hash to half way to dot
RZDZ33,DZ33,half way to dot to dot - half way to dot to dot,fine,-69.0,-76.5,-30.0,-22.5,defensive,low,right,half way to dot to dot,half way to dot to dot
