shot_event_key,event_id,game_id,period,event_type,event_detail,is_goal,shooter_player_id,shooter_name,shooter_team_id,shot_x,shot_y,shot_distance,shot_angle,friendly_screen_score,own_team_screen_score,total_screen_score,screen_count,is_screened,net_target_x,net_target_y,net_location_id,_export_timestamp
SHE1896902342,EV1896902342,18969,3,Shot,Shot_OnNetSaved,False,P100022,Chris Dube,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.765395
SHE1896902335,EV1896902335,18969,3,Shot,Shot_Missed,False,P100039,Nicole Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.767667
SHE1896902307,EV1896902307,18969,3,Shot,Shot_OnNetSaved,False,P100027,Karen Zietlow,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.770022
SHE1896902299,EV1896902299,18969,3,Shot,Shot_OnNetSaved,False,P100030,Jesse Chambless,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.772263
SHE1896902272,EV1896902272,18969,3,Shot,Shot_OnNetSaved,False,P100024,John Thien,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.774492
SHE1896902261,EV1896902261,18969,3,Shot,Shot_Goal,False,P100117,Keegan Mantaro,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.776804
SHE1896902262,EV1896902262,18969,3,Goal,Goal_Scored,True,P100117,Keegan Mantaro,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.779129
SHE1896902252,EV1896902252,18969,3,Shot,Shot_Blocked,False,P100001,Sam Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.781482
SHE1896902243,EV1896902243,18969,3,Shot,Shot_Missed,False,P100222,Joshua Blumberg,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.783869
SHE1896902240,EV1896902240,18969,3,Shot,Shot_Blocked,False,P100107,Matt Quinn,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.786204
SHE1896902216,EV1896902216,18969,3,Shot,Shot_Missed,False,P100064,James Rynearson,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.788466
SHE1896902209,EV1896902209,18969,3,Shot,Shot_OnNetSaved,False,P100198,Maxwell Donaty,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.790829
SHE1896902202,EV1896902202,18969,3,Shot,Shot_Missed,False,P100201,Garrett Ashcroft,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.793197
SHE1896902173,EV1896902173,18969,3,Shot,Shot_OnNetSaved,False,P100025,Andrew Marshall,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.795556
SHE1896902156,EV1896902156,18969,3,Shot,Shot_Missed,False,P100161,Galen Wood,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.798140
SHE1896902136,EV1896902136,18969,3,Shot,Shot_OnNetSaved,False,P100201,Garrett Ashcroft,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.800461
SHE1896902116,EV1896902116,18969,3,Shot,Shot_Missed,False,P100001,Sam Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.802823
SHE1896902109,EV1896902109,18969,3,Shot,Shot_OnNetSaved,False,P100198,Maxwell Donaty,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.805159
SHE1896902101,EV1896902101,18969,3,Shot,Shot_OnNetSaved,False,P100001,Sam Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.807575
SHE1896902089,EV1896902089,18969,3,Shot,Shot_OnNetSaved,False,P100030,Jesse Chambless,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.809845
SHE1896902084,EV1896902084,18969,3,Shot,Shot_Blocked,False,P100023,Alex Considine,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.812146
SHE1896902073,EV1896902073,18969,3,Shot,Shot_Blocked,False,P100192,Chris Premo,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.814498
SHE1896902066,EV1896902066,18969,3,Shot,Shot_Goal,False,P100132,Nick Ciampoli,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.816813
SHE1896902067,EV1896902067,18969,3,Goal,Goal_Scored,True,P100132,Nick Ciampoli,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.819108
SHE1897701455,EV1897701455,18977,1,Shot,Shot_OnNetSaved,False,P100084,Ty Smith,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.821394
SHE1897701442,EV1897701442,18977,1,Shot,Shot_OnNetSaved,False,P100001,Sam Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.823626
SHE1897701409,EV1897701409,18977,1,Shot,Shot_OnNetSaved,False,P100086,Beau Kelly,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.825982
SHE1897701368,EV1897701368,18977,1,Shot,Shot_Goal,False,P100161,Galen Wood,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.828296
SHE1897701362,EV1897701362,18977,1,Shot,Shot_Blocked,False,P100211,Noel Black,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.830826
SHE1897701357,EV1897701357,18977,1,Shot,Shot_OnNetSaved,False,P100123,Todd Heffner,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.833094
SHE1897701341,EV1897701341,18977,1,Shot,Shot_OnNetSaved,False,P100088,Hayden Smith,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.835263
SHE1897701331,EV1897701331,18977,1,Shot,Shot_OnNetSaved,False,P100201,Garrett Ashcroft,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.837539
SHE1897701316,EV1897701316,18977,1,Shot,Shot_BlockedSameTeam,False,P100123,Todd Heffner,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.839862
SHE1897701315,EV1897701315,18977,1,Shot,Shot_Missed,False,P100088,Hayden Smith,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.842494
SHE1897701308,EV1897701308,18977,1,Shot,Shot_Missed,False,P100086,Beau Kelly,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.844709
SHE1897701296,EV1897701296,18977,1,Shot,Shot_BlockedSameTeam,False,P100198,Maxwell Donaty,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.846950
SHE1897701290,EV1897701290,18977,1,Shot,Shot_Missed,False,P100108,Robert Mayfield,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.849269
SHE1897701286,EV1897701286,18977,1,Shot,Shot_Missed,False,P100198,Maxwell Donaty,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.851640
SHE1897701276,EV1897701276,18977,1,Shot,Shot_OnNetSaved,False,P100002,Kevin White,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.853960
SHE1897701270,EV1897701270,18977,1,Shot,Shot_OnNetSaved,False,P100002,Kevin White,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.856206
SHE1897701263,EV1897701263,18977,1,Shot,Shot_BlockedSameTeam,False,P100086,Beau Kelly,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.858442
SHE1897701244,EV1897701244,18977,1,Shot,Shot_Missed,False,P100086,Beau Kelly,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.860733
SHE1897701228,EV1897701228,18977,1,Shot,Shot_Missed,False,P100049,Kirk Moore,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.862968
SHE1897701225,EV1897701225,18977,1,Shot,Shot_OnNetSaved,False,P100088,Hayden Smith,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.865187
SHE1897701222,EV1897701222,18977,1,Shot,Shot_Missed,False,P100084,Ty Smith,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.867453
SHE1897701198,EV1897701198,18977,1,Shot,Shot_Missed,False,P100084,Ty Smith,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.869695
SHE1897701174,EV1897701174,18977,1,Shot,Shot_OnNetSaved,False,P100198,Maxwell Donaty,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.871866
SHE1897701167,EV1897701167,18977,1,Shot,Shot_Blocked,False,P100081,Lee Smith,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.874118
SHE1897701150,EV1897701150,18977,1,Shot,Shot_BlockedSameTeam,False,P100100,Nate Flint,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.876462
SHE1897701139,EV1897701139,18977,1,Shot,Shot_Missed,False,P100039,Nicole Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.878733
SHE1897701110,EV1897701110,18977,1,Shot,Shot_OnNetSaved,False,P100088,Hayden Smith,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.881060
SHE1897701108,EV1897701108,18977,1,Shot,Shot_Blocked,False,P100091,Bert Loper,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.883564
